ulasan_asli;kategori;preprocessed_text;tokens_count
Ruangannya panas banget, AC atau kipas anginnya nggak terasa.;suasana;ruang panas sangat ac kipas angin tidak asa;8
Banyak lalat di meja makan, sangat mengganggu kenyamanan.;suasana;banyak lalat meja makan sangat ganggu nyaman;7
Toiletnya kotor dan baunya sampai ke area tempat duduk.;suasana;toilet kotor bau area tempat duduk;6
Musiknya terlalu berisik, nggak cocok buat yang mau ketenangan.;suasana;musik terlalu berisik tidak cocok buat mau tenang;8
Parkiran sempit dan berantakan, susah buat keluar masuk motor.;suasana;parkir sempit beranta susah buat keluar masuk motor;8
Banyak nyamuk kalau duduk di area luar, tolong diperhatikan.;suasana;banyak nyamuk kalau duduk area luar perhati;7
Mejanya lengket dan banyak bekas tumpahan minuman.;suasana;meja lengket banyak bekas tumpah minum;6
Lampu di area indoor redup banget, jadi agak suram suasananya.;suasana;lampu area indoor redup sangat jadi suram suasana;8
Harga makanan tidak sebanding dengan porsi yang diberikan.;harga;harga makan tidak banding porsi beri;6
Terlalu mahal untuk ukuran cafe seperti ini, porsinya mini.;harga;terlalu mahal ukur cafe porsi mini;6
Pricey banget, rasanya standar tapi harganya selangit.;harga;mahal sangat rasa standar harga langit;6
Ada biaya tambahan yang tidak masuk akal di struk pembayaran.;harga;biaya tambah tidak masuk akal struk bayar;7
Minuman harga 30rb tapi rasanya seperti kopi instan biasa.;harga;minum harga rb rasa kopi instan biasa;7
"Kafenya nampak sperti rumah. Pas masuk ternyata cozy banget, suasanya pas masuk enak.. lega, rapi, ga aneh aneh dekorasinya..
Baristanya jg ramah ramah, mbaknya menjelaskan dgn baik pas gw nanya menu.. …";produk, suasana;kafe nampak sperti rumah pas masuk nyata nyaman sangat suasa pas masuk enak lega rapi tidak aneh aneh dekorasi baristanya ramah ramah mbak jelas baik pas nanya menu;28
gokillllll, aku lama gak pulang ke palangkaraya dan ke coffee shop ini bagussss pollll. dari pelayanan yang ramah, kopi yang enak, makanannya jugaaaaa. yang bikin amaze adalah di wc nya ada pembalut, sangat sangat memperhatikan pelanggan …;pelayanan, produk, suasana;gokill aku lama tidak pulang palangkaraya coffee shop baguss poll layan ramah kopi enak makan jugaa bikin amaze wc nya balut sangat sangat perhati langgan;25
Layanan sgt baik dan ramah, toilet bersih, ada musholanha juga. Cheesecakenya jg enak;pelayanan, produk, suasana;layan sgt baik ramah toilet bersih musholanha cheesecakenya enak;9
Sore hari ga terlalu ramai, harga masih ramah dikantong, perpaduan matcha dan stroberi nya masih segar tetapi matca kurang kuat, kopi susunya creamy dan ga bikin eneg;harga, produk;sore hari tidak terlalu ramai harga ramah kantong padu matcha stroberi nya segar matca kurang kuat kopi susu creamy tidak bikin eneg;22
"Tak diragukan famous roastery & cafe
C
Kopi susu mantap EsKobar …";produk;tak ragu famous roastery cafe kopi susu mantap eskobar;9
Kemarin kesini order split shot menu. Asik, serve nya bagus tampilannya.seperti biasanya kalau order split shot pasti dikasih segelas air putih untuk netralisir espresso single shotnya sebelum lanjut minum picollo nya.  Ternyata air …;pelayanan, produk, suasana;kemarin kesini order split shot menu asik serve nya bagus tampil biasa kalau order split shot kasih gelas air putih netralisir espresso single shotnya lanjut minum picollo nya nyata air;30
Staffnya ramah, kopinya juga enak, tapi untuk donatnya masih ada kaya aroma telur gitu, kalo lagi rame pesanannya suka lama datengnya, so far oke lah, ada childern chair juga, toiletnya ada di sediakan tisue kering & basah serta ada di sediakan pembalut juga;produk;staffnya ramah kopi enak donat kaya aroma telur gitu kalau rame pesan suka lama datengnya so far oke lah childern chair toilet sedia tisue kering basah sedia balut;28
"Untuk makanan minuman Oke banget, untuk service full of trash. Jujur izin 🫷

Bro buat owner coffeshop ada ga sih evaluasi kerja setiap sebulan 1 kali atau 2 …";pelayanan, produk;makan minum oke sangat service full of trash jujur izin bro buat owner coffeshop tidak sih evaluasi kerja bulan kali;20
Emosi bgt kemaren waktu pesan disini, emosi nya karena disuruh nunggu lama dan diperlakukan tidak adil, ntahlah bagaimana manajemennya di cafe ini, antara admin depan sama pihak dapur itu kayak kurang koordinasi. Bayangin aja nunggu bisa …;pelayanan;emosi sangat kemaren waktu pesan sini emosi nya suruh tunggu lama laku tidak adil ntahlah bagaimana manajemen cafe admin depan sama pihak dapur kayak kurang koordinasi bayangin tunggu;28
"Salah satu coffee n eatery yg cukup ramai di Palangkaraya.
Type kopi creamy dan sweet , cocok bagi pecinta kopi susu.
Harga makanan , snack dan minuman juga affordable auto kalap sih ini.
Konsep rumahan tapi parkirannya cukup luas.";harga, produk, suasana;salah satu coffee eatery cukup ramai palangkaraya type kopi creamy sweet cocok cinta kopi susu harga makan snack minum affordable auto kalap sih konsep rumah parkir cukup luas;28
Salah 1 cafe yg recommended di pky.. Varian menu nya enak2 dan lengkap.. Jadi punya banyak pilihan makanan/minuman kalau mau nongkrong bareng temen2.. Tersedia outdoor n indoor.. Utk yg indoor AC nya full kenceng walaupun byk pengunjung nyaa..;produk, suasana;salah cafe rekomendasi pky varian menu nya enak lengkap jadi punya banyak pilih makan minum kalau mau nongkrong bareng temen sedia outdoor indoor indoor ac nya full kenceng walaupun banyak unjung nyaa;32
"Makanannya 1 aja nunggu nya 40 menit padahal resto dalam keadaan tidak ramai, sudah berapa kali ditanya ke kasir ""lagi konfirmasi"" Konfirmasi apa? Apakah stok habis";pelayanan;makan tunggu nya menit padahal resto ada tidak ramai berapa kali tanya kasir konfirmasi konfirmasi apa stok habis;18
Pesen makan karena kebetulan makan siang disini, kami pesen dari jam 12.49 wib tapi makanan dateng jam 14.20 wib karena sudah menunggu lama kami sampai bolak balik nanya pelayannya kapan makanan sampai katanya 10 menit lagi, trus 5 menit …;pelayanan, produk;sen makan betul makan siang sini sen jam wib makan dateng jam wib tunggu lama bolak balik nanya layan kapan makan kata menit terus menit;25
"Cafe dgn nama unik, ky distributor consumer good 😆
Tempat cozy, pelayanannya baik, menyediakan bnyk menu appetizer, main dish nya rasa so so sj & agak lama kluarnya …";produk, suasana;cafe nama unik ky distributor consumer bagus tempat nyaman layan baik sedia banyak menu appetizer main dish nya rasa so so sj lama kluarnya;24
Tempat makan ini enak banget! Makanan lezat, harga terjangkau, dan pelayanan ramah. Pasti balik lagi!;harga, pelayanan, produk, suasana;tempat makan enak sangat makan lezat harga jangkau layan ramah balik;11
"Bungkus 2 ayam pop tanpa nasi.
Nunggu hampir sejam 😂
Dan Begitu datang makanan, setelah menunggu lama dikira itu Ayam Panas atau …";pelayanan, produk;bungkus ayam pop tanpa nasi tunggu hampir jam datang makan tunggu lama kira ayam panas;15
Sy kira cuma tempat ngopi,,,tapi setelah nyobain,anak2 suka,worth it semuanya,,,enak nya kesini pas jam2 awal buka,pagi terutama. Makanan nya enak,waktu pengolahan ga nunggu lama,,keren sih ini,,,terimakasih majumakmursemakinjaya;harga, pelayanan, produk, suasana;kira cuma tempat ngopi nyobain anak suka padan it semua enak nya kesini pas jam awal buka pagi utama makan nya enak waktu olah tidak tunggu lama keren sih terimakasih majumakmursemakinjaya;31
Saat datang kesini cukup rame, jadi saat mesan makan antri karena mesan makan dan langsung bayar di kasir. Untuk makanannya enak dan cocok dilidah tapi harganya lumayan tinggi sih ya.. dan untuk menu minumannya saya rasa juga lumayan enak. …;harga, pelayanan, produk;datang kesini cukup rame jadi mesan makan antri mesan makan langsung bayar kasir makan enak cocok lidah harga lumayan tinggi sih menu minum rasa lumayan enak;26
Kalo sudah menyangkut pesanan online, naudzubilah lamanya luar biasa. Driver kehilangan kesempatan dapat pendapatan lebih, costumer komplain karena status telat antar terus. Padahal murni memang dari restonya yang naudzubilah 🫠 …;pelayanan;kalau sangkut pesan online naudzubilah lama luar biasa driver hilang sempat dapat lebih costumer komplain status telat antar terus padahal murni memang restonya naudzubilah;24
coffeshop dgn buka 24 jam tempat yg enak buat nongkrong, makanan berat dan makanan ringan bervariasi serta lengkap pelayanan ramah 👍👍👍👍 …;pelayanan, produk, suasana;coffeshop buka jam tempat enak buat nongkrong makan berat makan ringan variasi lengkap layan ramah;15
Salah satu cafe andalan yg menunya lengkap mulai dari minuman coffee-tea-non coffee, camilan manis-asin, menu breakfast, sampai ke makanan berat yg banyak variasinya. Tempatnya comfy, ruangannya luas, meja cukup luas & ngga rendah (cocok …;produk, suasana;salah satu cafe andal menu lengkap mulai minum coffee tea non coffee camil manis asin menu breakfast makan berat banyak variasi tempat comfy ruang luas meja cukup luas tidak rendah cocok;31
Suka banget disini untuk santai bersama teman maupun keluarga, tempat nya enak, suasana aman dan nyaman, yang pasti kebersihan juga jadi salah satu menjadi tempat favorit;produk, suasana;suka sangat sini santai sama teman maupun keluarga tempat nya enak suasana aman nyaman bersih jadi salah satu jadi tempat favorit;21
Mantep sih disini best semua tempat dan makanan nya;produk, suasana;mantap sih sini best semua tempat makan nya;8
"saya sebenarnya sudah sering makan di maju makmur, pesan makanan dan minumannya enak2
cuman sepertinya hari ini saya apes mendapat makanan yg sperti kurang proper …";produk;benar sering makan maju makmur pesan makan minum enak cuman seperti hari apes dapat makan sperti kurang proper;18
Tempatnya luas.. ada pilihan indoor dan outdoor.. suasananya santai tapi ttp asik. Menu makanannya terlalu DABEST sih di sini. Gak bisa berword-word lagi karena porsinya yang big size, rasanya yang super rekomended, dan harganya sangat …;produk, suasana;tempat luas pilih indoor outdoor suasana santai ttp asik menu makan terlalu dabest sih sini tidak berword word porsi big size rasa super rekomended harga sangat;26
Makanannya enak, dan ada ruangan ber AC cocok buat nugas dan ngerjain skripsi 🤭🤭... …;produk, suasana;makan enak ruang ber ac cocok buat nugas ngerjain skripsi;10
Mantep sih disini semuanya enak makannya tempatnya juga pw bangett;produk;mantap sih sini semua enak makan tempat pw bangett;9
Sudah 2x mendapatkan pelayanan yang tidak memuaskan terutama saat menunggu makanan yang sangat lama dari jam set 7 sampai jam 8lewat belum selesai juga, yang pertama saat saya pesan makann makan di tempat malah pelanggan yg baru datang yg …;pelayanan, produk, suasana;dapat layan tidak muas utama tunggu makan sangat lama jam set jam lewat belum selesai pertama pesan makann makan tempat malah langgan baru datang;24
Makanannya enak2, harga worth it;harga;makan enak harga padan it;5
Cafe 24 jam dengan pelayanan yg baik, udah gitu kopinya paling enak, semua makanan dan snacknya juga enak, pastry nya enak juga.;pelayanan, produk;cafe jam layan baik gitu kopi paling enak semua makan snacknya enak pastry nya enak;15
Makanan dan kopi nya recomended, tempat nya cocok buat sekedar nongkrong atau kumpul2 bareng keluarga tersedia indoor dan outdoor juga. Mereka juga jualan kopi yang di roasting sendiri sama supply sirup2 gtu. Pelanannya bagus, varian …;produk, suasana;makan kopi nya rekomendasi tempat nya cocok buat dar nongkrong kumpul bareng keluarga sedia indoor outdoor jual kopi roasting sendiri sama supply sirup gtu pelan bagus varian;27
"Langganan bgt wajib ke maju makmur buat yg belum pernah 😍😍 tempatnya oke
Ada ruang ber ac juga buat yg bawa bayi atau pengen tempat yg dingin✨ …";suasana;langgan sangat wajib maju makmur buat belum pernah tempat oke ruang ber ac buat bawa bayi ken tempat dingin;19
"Selama ini coba Kopi & Minuman lainnya sih approved semua.
Mango sticky rice, ricebowl & chicken wingsnya oke 👌 …";produk;lama coba kopi minum lain sih approved semua mango sticky rice ricebowl chicken wingsnya oke;15
Tidak ada sinkronisasi antara sistem kasir & bagian penyedia makanan. Tdk ada skala prioritas di setiap orderan yg masuk (antrian di kasir tdk menjamin pesanan mu di antar sesuai urutan antrian di kasir). …;pelayanan, produk;tidak sinkronisasi sistem kasir bagi sedia makan tidak skala prioritas order masuk antri kasir tidak jamin pesan mu antar sesuai urut antri kasir;23
Sering kesini,artinya emang seasyik itu tempat nya,layanan nya, suasana nya,dan cocok dgn menu nya;pelayanan, produk, suasana;sering kesini arti memang asyik tempat nya layan nya suasana nya cocok menu nya;14
"1. Dimsum kukus enak, berdaging.
2. Bluberry cheesecakenya, juara, selai blubberynya gak terlalu asam pas, meskipun cakenya agak keras karna di dalam mesin pendingin, tapi tetap enak , jadi …";produk;dimsum kukus enak daging bluberry cheesecakenya juara selai blubberynya tidak terlalu asam pas meski cakenya keras karna mesin dingin tetap enak jadi;22
Menu makanan di sini cukup lengkap dengan jam buka yang panjang. Makanannya relatif enak untuk beberapa menu, tapi beberapa menu lainnya aku rasa kurang. Terakhir ke sini pesen soto surabaya dan nasi goreng ikan asin. Soto surabayanya …;produk;menu makan sini cukup lengkap jam buka panjang makan relatif enak beberapa menu beberapa menu lain aku rasa kurang akhir sini sen soto surabaya nasi goreng ikan asin soto surabayanya;30
Tempat nongki yg bikin betah krna banyak piLihan makanan dan minumannya.. 😆 …;produk, suasana;tempat nongki bikin betah krna banyak pilih makan minum;9
"Menu bervariasi dan ramai.
Makanan Nasi Ayam Sambal Ijo datang 1 jam 29 menit.";produk;menu variasi ramai makan nasi ayam sambal ijo datang jam menit;11
Disini tempatnya luas,selalu ramai, sangat cocok untuk meeting bersama teman dan keluarga. Fasilitas memadai: wastafel, parkiran yang rapi, mushola, toilet, ruang outdoor dan indoor ber AC, colokan listrik, wifi free. …;suasana;sini tempat luas selalu ramai sangat cocok meeting sama teman keluarga fasilitas pada wastafel parkir rapi mushola toilet ruang outdoor indoor ber ac colok listrik wifi free;27
Makanan nya di sini enak enak bangettt terus variasi nya juga cukup banyakk, untuk tempat nya juga tergolong nyaman buat nugas dan nongkrong sama temen temen, untuk pelayanan nya terutama untuk bagian kasir sangat ramahh, kopi nya juga enak …;pelayanan, produk, suasana;makan nya sini enak enak bangett terus variasi nya cukup banyakk tempat nya golong nyaman buat nugas nongkrong sama temen temen layan nya utama bagi kasir sangat ramahh kopi nya enak;31
Tempat yang selalu jadi rumah kedua kalau ke Palangka. Menunya lengkap, mulai dari makanan berat sampai dessert. Mulai dari minuman lucu sampai kopi serius. Ngobrol bisa sampai selesai karena 24 jam.😂 …;produk, suasana;tempat selalu jadi rumah dua kalau palangka menu lengkap mulai makan berat dessert mulai minum lucu kopi serius ngobrol selesai jam;21
pilihan menunya banyak, suasananya juga enak;produk;pilih menu banyak suasana enak;5
Enak banget kopi dan makanannya.. apalagi Cromboloni cokelat;produk;enak sangat kopi makan cromboloni cokelat;6
Makanannya enak semua, pelayanan oke, tempat nya nyaman buat santay dan ngobrol bareng teman💗 …;pelayanan, produk, suasana;makan enak semua layan oke tempat nya nyaman buat santay ngobrol bareng teman;13
makanan nasi goreng dingin dan lama keluarnya penyajiannnya lambat, iga bakar seperti iga masak es alias dingin, not recommended;pelayanan, produk;makan nasi goreng dingin lama keluar saji lambat iga bakar iga masak es alias dingin not rekomendasi;17
Kopi paling ku suka, disaat lelah kerja ke Maju Makmur, berangkat kerja ngopi nya Maju Makmur 😍 …;produk;kopi paling ku suka saat lelah kerja maju makmur berangkat kerja ngopi nya maju makmur;15
Dapat rekomendasi dari driver yang mengantar saya ke Palangkaraya, makanya begitu sampai di penginapan langsung makan siang dan pesan ojek online minta diantar kesini. Lokasinya ternyata tidak begitu jauh dari tempat menginap sehingga …;suasana;rekomendasi driver antar palangkaraya makanya inap langsung makan siang pesan ojek online minta antar kesini lokasi nyata tidak jauh tempat inap;21
Semua enak mah kalo dsni, cmn mmg kudu sabar aja nunggu pesanan datang 😄 …;pelayanan, produk;semua enak mah kalau dsni cmn mmg kudu sabar tunggu pesan datang;12
Nasi goreng di warung ini punya rasa yang khas dan sangat menggugah selera. Tekstur nasinya pas—tidak terlalu lembek atau kering. Bumbu-bumbunya meresap sempurna, dengan perpaduan manis, gurih, dan sedikit pedas yang bikin nagih. Ditambah …;produk;nasi goreng warung punya rasa khas sangat gugah selera tekstur nasi pas tidak terlalu lembek kering bumbu bumbu resap sempurna padu manis gurih sedikit pedas bikin nagih tambah;28
"tempat makan rekomendasi bagi yg suka nongkrong di area palangkaraya.

plus= …";suasana;tempat makan rekomendasi suka nongkrong area palangkaraya plus;8
"First impression nyoba ngebrunch cantik disini.

Tempatnya luas dan rame. Ketemu banyak orang2 yang skripsian dan orang kantoran. …";suasana;first impression nyoba ngebrunch cantik sini tempat luas rame ketemu banyak orang skripsi orang kantor;15
tempat nongkii yg pw abiss, pilihan menunya juga banyakk 🫰🏻 …;suasana;tempat nongkii pw abiss pilih menu banyakk;7
Menu nya banyak pilihan, harga standar, rasanya enak semua, tempat nya luas dan nyaman, recommended pokok nya😍 …;harga, produk, suasana;menu nya banyak pilih harga standar rasa enak semua tempat nya luas nyaman rekomendasi pokok nya;16
Nyaman banget buat kerja atau nugas, apalagi di indoor, tempatnya bersih, pelayanan standar, dan estetika nya dapet banget, boleh banget buat postingan di instagram;pelayanan, suasana;nyaman sangat buat kerja nugas indoor tempat bersih layan standar estetika nya dapet sangat sangat buat postingan instagram;18
"value for money.. good taste, espektasi terpenuhi.. kemarin singgah untuk take away minuman buat berbuka, next visit bakal nyoba makanan nya.
- …";produk;value for money bagus taste espektasi penuh kemarin singgah take away minum buat buka next visit bakal nyoba makan nya;20
menurut saya untuk makanan & minuman semua enak kok cuman lumayan lama menunggu, pelayanannya saya rasa cukup ramah, untuk suasana pun juga lumayanlah ya.. sukses terus ya cafenya;pelayanan, produk, suasana;makan minum semua enak kok cuman lumayan lama tunggu layan rasa cukup ramah suasana lumayan sukses terus cafenya;18
Klo merasa Resto Paling Rame, gk usah pakai ojol lgi, kasihan driver nunggu lama,;pelayanan;kalau rasa resto paling rame tidak usah pakai ojol kasihan driver tunggu lama;13
Tempat nongkrong yang asyik untuk kumpul bareng teman, acara kantor atau sekedar kongkow buat ngilangin suntuk. Pilihan menu nya beragam mulai dari yang ringan seperti kopi dan kentang goreng sampai menu makanan berat seperti meat bulgogi soto ayam dsb. Pelayan nya ramah dan baik banget. Makanya sering banget nongkrong disini.;pelayanan, produk, suasana;tempat nongkrong asyik kumpul bareng teman acara kantor dar kongkow buat ngilangin suntuk pilih menu nya agam mulai ringan kopi kentang goreng menu makan berat meat bulgogi soto ayam layan nya ramah baik sangat makanya sering sangat nongkrong sini;39
Menu nya banyak, makanan dan minumannya enakenak, tempatnya nyaman✨;produk, suasana;menu nya banyak makan minum enakenak tempat nyaman;8
tempatnya nyaman, pilihan menunya banyak dan wenak polll, minumannya juga beragam dan enak serta banyak promo menarik;harga, produk, suasana;tempat nyaman pilih menu banyak wenak poll minum agam enak banyak promo tarik;13
Tempat paling terbaik buat melupakan sejenak masalah, dengan makanan dan minuman yang bikin Mood yang bad bisa kembali senyum lagi.. harga terjangkau tapi rasa ga mengecewakan apalagi kalo sudah ngerasain Hazelnut sama Cheese cake coffeenya 🔥🔥 …;harga, produk, suasana;tempat paling baik buat lupa jenak masalah makan minum bikin mood buruk senyum harga jangkau rasa tidak kecewa kalau ngerasain hazelnut sama cheese cake coffeenya;25
Makanan lama datang, nunggu hampir 1 jam setengah, setelah makanan datang minumnya belum diantar,, dibilang lah minuman belum, baik ka ditunggu ucap pelayanya, sambil nunggu minum datang sambil makan, sampai makanan habis dimakan minuman …;pelayanan, produk;makan lama datang tunggu hampir jam tengah makan datang minum belum antar bilang lah minum belum baik ka tunggu ucap pelayanya tunggu minum datang makan makan habis makan minum;29
Makanan nya enakkk, tempat nyamannn mantul dahh;produk, suasana;makan nya enakk tempat nyamann mantap dahh;7
"Makanan berat ada, makanan ringan ada dan minuman cukup banyak variasinya.
Cocok buat kumpul bareng terkasih, temen ataupun kolega.";produk;makan berat makan ringan minum cukup banyak variasi cocok buat kumpul bareng kasih temen atau kolega;16
"Nunggu minuman dan makanan lama bgd ,minuman kalau ga di tanya sm waiters ga di antar!
Nunggu makanan hampir 3 jam ga ada kongirmasi dr awal kalau ayam nya sedang di …";pelayanan, produk;tunggu minum makan lama bgd minum kalau tidak tanya sama waiters tidak antar tunggu makan hampir jam tidak kongirmasi awal kalau ayam nya sedang;24
Sukaa sama menu nya yg banyakk, makanan dan minuman yg enakkk bangetttt🥹🥹❤️❤️❤️ trus tmptnya jg bikin nyaman untuk nongkiii🫰🏻🫰🏻 jayaaa terus maju makmur semoga makin ramee💪🏻 …;produk, suasana;sukaa sama menu nya banyakk makan minum enakk bangett terus tmptnya bikin nyaman nongkii jayaa terus maju makmur moga makin ramee;21
Menunya menarik dan tempatnya luas;suasana;menu tarik tempat luas;4
Nunggunya sudah lama sekali, pas datang pesanan ada yang kurang, disampaikan ke pelayanan bilangnya lagi dikerjain, dijanjikan 5 menit diantar, tp ternyata bohong, kekurangan pesanan ga datang datang juga. Setelah mau minta refund baru dikerjain 👎 …;pelayanan;nunggunya lama sekali pas datang pesan kurang sampai layan bilang dikerjain janji menit antar nyata bohong kurang pesan tidak datang datang mau minta refund baru dikerjain;26
tempat nugas dan kumpul sama teman teman paling pw dan enakkk bngettttt, dari SMA smpe kuliah pun masih tetapppp suka kesini dari masih jomblo sampe skrg udah punya pcar pun masih suka nongkrong disini;suasana;tempat nugas kumpul sama teman teman paling pw enakk bngett sama kuliah tetapp suka kesini jomblo sekarang punya pcar suka nongkrong sini;22
"Makanan enak
Pilihan makanan  banyak bervariasi
Minuman nya enak enak";produk;makan enak pilih makan banyak variasi minum nya enak enak;10
Pelayanan super duper LAMA padahal kondisi cafe tidak ramai, pegawai tidak ramah, makanan di sajikan dingin dan sangat tidak enak, beberapa kali kesini selalu sama tidak ada evaluasi, mungkin emang ga peduli sama kenyamanan customer👎🏻 BAD!!! …;pelayanan, produk;layan super duper lama padahal kondisi cafe tidak ramai pegawai tidak ramah makan saji dingin sangat tidak enak beberapa kali kesini selalu sama tidak evaluasi mungkin memang tidak peduli sama nyaman customer buruk;33
Setelah beberapa kali ke MM baru kali ini ketemu kasirnya yg lambat banget kerjanya dan ini kondisinya siang lagi GK rame banget yg antri, baru liat juga sih kasirnya ini.;pelayanan;beberapa kali mm baru kali ketemu kasir lambat sangat kerja kondisi siang tidak rame sangat antri baru liat sih kasir;20
Cocok banget buat tempat ngopi pagi pagi. Makanannya enak . Varian snack buanyyaaak sekali. Ice Creamnya enak pooollll. Harga terjangkau . Pertahankan 🫶🏻 …;harga, produk, suasana;cocok sangat buat tempat ngopi pagi pagi makan enak varian snack buanyyaak sekali ice creamnya enak pooll harga jangkau tahan;20
Jangan datang dijam lapar agak nunggu lama, cocok buat santai dan ngobrol sambil nunggu pesanan datang.;pelayanan, suasana;jangan datang jam lapar tunggu lama cocok buat santai ngobrol tunggu pesan datang;13
Belum sempat nyobain makanan di cafe ini krna jam 12 kesini makanan ny belum matang dan hrs nunggu 1 jam lagi :) …;pelayanan, produk;belum sempat nyobain makan cafe krna jam kesini makan ny belum matang tunggu jam;14
varian makanannya banyak, fresh dan enak. pegawai-pegawainya juga komunikatif dan informatif, tempatnya nyaman + dingin🙌🏻 minta ayam cabe garam versi ‘kering’ dan dibuatin sesuai request, terimakasihh Maju Makmur🫶🏻 …;produk, suasana;varian makan banyak segar enak pegawai pegawai komunikatif informatif tempat nyaman dingin minta ayam cabe garam versi kering dibuatin sesuai request terimakasihh maju makmur;24
Tempatnya enak nyaman dan santai untuk melepas penat setelah seharian bekerja. Makanan dan minumannya pas sesuai dengan dompet dan rasanya enak. TOP pokoknya;produk, suasana;tempat enak nyaman santai lepas penat hari kerja makan minum pas sesuai dompet rasa enak top pokok;17
Selalu kesini dikala bingung mau nongki dimana. minuman semuaa approve enaknya, makanan semuanya pas dilidah. tempatnya juga oke buat laptopan, mau indoor ataupun outdoor. salah satu coffeshop yang harus disamper di palangka raya✊🏻🔥 …;produk, suasana;selalu kesini kala bingung mau nongki minum semuaa approve enak makan semua pas lidah tempat oke buat laptop mau indoor atau outdoor salah satu coffeshop samper palangka raya;28
Tempat paling nyamana, coffe paling best, tiap hari aku kesini terus 😭 …;suasana;tempat paling nyamana coffe paling best tiap hari aku kesini terus;11
"Terdebesttt si makananannya, terutama kwetiaw ayam sma pasta beef blackpepper nya, wajib dicoba 😍😍👍👍
Jgn lupa mampir guyss.. 🤤 …";pelayanan, produk;terdebestt si makananannya utama kwetiaw ayam sama pasta beef blackpepper nya wajib coba jgn lupa mampir guyss;17
Ubur ubur ikan lele, mantap le. Makanan nya enak semua, bintang 5 dan kualitas tinggi dengan harga affordable cenderung rumah. Sukses selalu ya, semoga selalu laris.;harga, produk;ubur ubur ikan lele mantap le makan nya enak semua bintang kualitas tinggi harga affordable cenderung rumah sukses selalu moga selalu laris;22
Suasana di Maju Makmur Coffee cukup nyaman buat nongkrong santai, baik sendiri maupun bareng teman. Tempatnya enak, interiornya simpel tapi bikin betah lama-lama duduk.;produk, suasana;suasana maju makmur coffee cukup nyaman buat nongkrong santai baik sendiri maupun bareng teman tempat enak interior simpel bikin betah lama lama duduk;23
Mknnnya enak smua kopi ya the best..;produk;mknnya enak smua kopi the best;6
"LAMA sekali, kapok pesan gorengan dan mie gorengnya,
Komplain pun suruh menunggu,,
Mie satu baru dihidangkan, sudah dingin sekali …";pelayanan, produk;lama sekali kapok pesan goreng mie goreng komplain suruh tunggu mie satu baru hidang dingin sekali;16
Salah satu tempat makan fav kuuuu xixixixixix sukses terus MM  semakin bersinar dan banyak varian makanan minumannya ya + promo diskon mya hehehe;harga, produk, suasana;salah satu tempat makan fav kuu xixixixixix sukses terus mm makin sinar banyak varian makan minum promo diskon mya hehehe;20
